가게명,카테고리,주소,리뷰
송화산시도삭면,"딤섬,중식만두",서울 광진구 뚝섬로27길 48,건대역 도삭면과 딤섬으로 유명한 송화산시도삭면 다녀왔어요  웨이팅이 있어 먼저 대기표를 받고 기다렸고 회전율이 빨라 금방 들어갔어요  저는 대표 메뉴인 도삭면과 소룡포를 주문했고 음식은 빨리 나왔습니다  국물부터 마셔 봤는데 생각했던 매콤한 맛이라 마라맛은 거의 없었고 다소 슴슴한 듯 한 맛이었어요  도삭면은 두꺼운 칼국수 느낌이고 탄력이 상당히 좋았고 쫄깃한 식감이 좋았습니다  국물이 기대했던 만큼 찐하거나 자극적인 맛이 아니라 다소 아숴웠어요  청경채와 메추리알은 별도로 나왔는데 아삭하게 잘 익었습니다  샤오롱바오는 육즙이 가득했고 돼지고기 육향도 좋았고 가격대비 양도 많았어요  다음엔 많이들 드시는 가지튀김과 딤섬들도 먹어보고 싶었습니다  직원분들은 친절하지는 않으나 그렇다고 불친절 한편은 아니었어요
약수순대국,"순대,순댓국",서울 중구 동호로7길 14,"서울에서 순대국밥 제일 잘하는집이라 칭할수 있습니다 그정도로 인기 많고 맛있어요! 고기도 많이 주고 각종 내장도 다 넣어 주셔서 푸짐하게 한그릇 할 수 있어서 정말 좋았습니다! 웨이팅 기본이지만 오늘은 운 좋아서 웨이팅 없이 들어갔습니다 혼자 오는 손님을 위해서 1인석 많이 준비되어 있어요 사장님 친절하시고 각종 반찬 무한리필 가능합니다 값이 다른곳에 비해 2천원 더 비싸지만 충분히 그럴 가치가 있는 순대국이라서 추천합니다😛 꼭 드셔보세요 JMT입니다🫢
음식이 맛있어요+1
개의 리뷰가 더 있습니다
펼쳐보기"
구구당,퓨전음식,서울특별시 강남구 강남대로102길 35 구구당,"어머니랑 강남에 데이트 하러 나왔다가 추천 받아서 왔는데 맛있어서 저장할려고 리뷰 적었어요🥹 맛있는곳은 사라지면 안되서 리뷰로 남겨서 오래가게 해야하니깐요👍 어머니도 새로운 시도로 다양한 음식 맛봐서 좋아하셔서 더 추천🤭
친절해요+3
개의 리뷰가 더 있습니다
펼쳐보기"
신세계떡볶이,떡볶이,서울 중구 명동9길 10,"마늘맛이 듬뿍 나는 신세계떡볶이! 달달한 맛이 매력적이었어요!!! 순대랑 오뎅국물 서비스까지 완벽했어요
음식이 맛있어요"
탄포포,일식당,서울 송파구 백제고분로7길 52-19,"드디어 방문한 탄포포 ㅎㅎ 역시 사람이 많은 곳엔 이유가 있는듯. 모듬사시미 퀄리티가 사기임 ㅋㅋ 이 가격에 이 퀄리티면 무조건 와야지 ㅋㅋ 다른 음식들도 다 정갈하고 맛있음. 과하지 않고 깔끔함. 둘이 일품진로 한병을 다 마심 ㅋㅋ 안주가 좋으니 술이 술술 ㅎㅎ 혼자 서빙하시는데 번잡하지 않고 분위기도 좋음. 조만간 또 방문 할듯 ㅋㅋ
음식이 맛있어요+4
개의 리뷰가 더 있습니다
펼쳐보기
이미지 수
5"
라미띠에,프랑스음식,서울특별시 강남구 도산대로67길 30 2층,"생일 기념으로 방문했어요! 프랑스 요리에 관심이 생겨서 예약해본건데, 미슐랭 원스타인만큼 정말 맛있었고 값진 경험을 하고 왔습니다. 뭐 하나 특정한 요리를 뽑을 수 없을 요리 하나하나 다 맛있었구요, 와인 페어링 코스를 이용했는데, 그 음식과 기가 막히게 잘 어울리는 와인으로 셀렉해 놓으셔서 정말 입이 즐거웠습니다. 에피타이저 부터 메인 디저트까지 진심으로 훌륭했습니다🥹 가격은 후덜덜 하지만 그만한 값어치가 있는 경험이었습니다!
특별한 날 가기 좋아요+4
개의 리뷰가 더 있습니다
펼쳐보기"
무교동북어국집,해장국,서울 중구 을지로1길 38,"⭐️단일메뉴 국맛집⭐️ -외국인여행객에게도 추천하는 국집 -밥고둑 반찬3종 테이블셀프리필가능(10,000원) -줄이 길어도 걱정하지 마세요. 회전 매우 빠름! -북어국 북어가 이렇게 통통하고 많이 들어있는 건 처음이에요 -혼밥하기 좋아요 점심에 해장술 드시는 분도 역시 있음. 바로 알콜 분해될 것 같은 무교동북어국집 😁
음식이 맛있어요+4
개의 리뷰가 더 있습니다
펼쳐보기"
우육면관,"우육면, 어향가지",서울특별시 종로구 종로7길 29-14,"광화문에서 만난 미슐랭 맛집!
주말. 저녁식사 시간이라 웨이팅이 당연히 있을거 같아서 미리 예약을 했습니다.
광화문의 좁은 골목길에 위치 했지만 도착하니 눈에 띄는 매장이 보이니 찾기는 쉬워요.. 특히 야간에 더 눈에 잘 띄네요!

1층은 bar형식으로 한줄로 앉아서 식사하는 구조이고 2층은 테이블로 구성이 되었네요! (인원이 많으시거나 가족단위 라면 2층 추천)
본론으로 들어가 .. 
우육전골, 어향가지, 마파연두부 가 순차적으로 세팅이 되고 본격적으로 식사 시작!
어향가지의 연한 가지와 매콤 소스+다진 고기의 하모니가 가지를 그닥 좋아하지 않는 사람도 거부감 없이 맛있게 먹었어요. 개인적으로 너무 맛있어서 소스에 밥을 넣고 비벼먹으니 정말 강추 합니다.
마파연두부 또한 매콤한 소스에 부드러운 연두부의 조합이 너무 좋네요.. 이것도 밥과 함께 하면 참 만족스러워요~
우육전골은 깊고 담백한 맛에 3가지 소스를 차례대로 찍어 먹으니 재료 추가를 안할수가 없네요^^.(모든 재료를 추가 주문했네요) 좀 느끼함?이 있다면 오이소채를 함께 먹으면 참 좋아요!
전골을 다먹고 면을 추가하여 우육면으로 마무리!
정말 기분 좋은 식사네요!
밥이 셀프코너에서 준비되있어요! 원하는 만큼 드실 수 있답니다!
간만에 대만의 정취가 느껴지는 마슐랭 식당에서의 좋은 식사였네요!
주차는 알아서 해야 하는데.. 바로 앞에 유료 주차장이 있네요!"
산수갑산,"순대,순댓국",서울특별시 중구 을지로20길 24,"맛있습니다! 야바이 순대가 찰져요
음식이 맛있어요+2
개의 리뷰가 더 있습니다
펼쳐보기
이미지 수
2"
서부감자국,감자탕,서울 은평구 서오릉로 8,"맛있습니다. 국물은 정말 깔끔합니다 들깨가루가 덜 들어간 느낌이랄까요? 굳이 비교를 하자면 성수감자국이나 주은감자탕과는 다른느낌이고 용산 일미집과 비슷한데 조금 매콤한맛이 추가된느낌이랄까요. 무튼 깔끔한 감자탕 좋아하시는 분은 다들 좋아하실거에요! 고기는 뭐 살 겁나많고 부들부들 야들야들해서 힘 별로 안들이고도 쏙 뽑아 한입에 왕창 넣는 그 쾌감 :) 그리고 여기 별미가 굴 입니다! 굴 추가하셔서 김치에 같이 드세요 꼭! 그럼 일단 소주 두병 까고 시작하실겁니다-
매장이 넓어요+4
개의 리뷰가 더 있습니다
펼쳐보기"
